Years_in_CS,Programming_Languages,Frameworks,Databases,DevOps_Tools,Networking_Experience,Cybersecurity_Experience,AI_Data_Science_Experience,Current_Role,Happy_in_Current_Role,Current_Role_Difficulty
3-5 years,Dart,CryEngine,Microsoft SQL Server,AWS,Yes,No,Yes,Game Developer,Yes,No
Less than 1 year,Python,Django,MongoDB,Terraform,No,No,Yes,Mobile Developer,No,Yes
Less than 1 year,Kotlin,Vue.js,MongoDB,AWS,Yes,No,No,Systems Analyst,Yes,Yes
1-3 years,TypeScript,Nestjs,OracleDB,AWS,No,Yes,Yes,AI Researcher,No,Yes
More than 5 years,PHP,Godot,MySQL,Other (please specify),Yes,Yes,No,Product Manager,No,Yes
3-5 years,TypeScript,Ruby on Rails,Other (please specify),Apache,No,Yes,No,Data Scientist,No,No
Less than 1 year,C#,Vue.js,Other (please specify),Docker,Yes,Yes,No,Cybersecurity Analyst,No,No
1-3 years,C,Ruby on Rails,PostgreSQL,Travis CI,No,Yes,Yes,Cloud Engineer,Yes,No
3-5 years,C,TensorFlow,Redis,CircleCI,No,No,No,Network Engineer,No,Yes
Less than 1 year,TypeScript,.NET Core,OracleDB,Azure,No,No,Yes,Data Engineer,Yes,No
More than 5 years,Java,Wireshark,PostgreSQL,Docker,No,No,No,DevOps Engineer,Yes,Yes
1-3 years,Rust,React Native,PostgreSQL,Docker,No,No,No,Data Scientist,Yes,No
Less than 1 year,C#,Scikit-Learn,CassandraDB,Jenkins,Yes,Yes,Yes,Project Manager,Yes,No
1-3 years,JavaScript,Burp Suite,Redis,Other (please specify),No,Yes,No,DevOps Engineer,No,Yes
3-5 years,Go,JavaFX,Redis,GitLab CI/CD,No,Yes,Yes,Cloud Engineer,No,Yes
Less than 1 year,Dart,Scikit-Learn,PostgreSQL,Nginx,No,Yes,No,Mobile Developer,Yes,Yes
1-3 years,C#,Dask,Other (please specify),Google Cloud Platform,No,No,Yes,Game Developer,Yes,Yes
Less than 1 year,Kotlin,Electron,MySQL,Ansible,No,No,Yes,Cloud Engineer,Yes,Yes
1-3 years,Python,Scikit-Learn,Microsoft SQL Server,Git,No,Yes,Yes,Product Manager,No,No
1-3 years,Python,Django,Other (please specify),DigitalOcean,Yes,Yes,Yes,Game Developer,Yes,Yes
More than 5 years,None,Unity,Redis,GitLab CI/CD,No,Yes,No,AI Researcher,No,No
More than 5 years,Other (please specify),Scikit-Learn,MongoDB,Ansible,No,Yes,Yes,Product Manager,Yes,No
Less than 1 year,Java,Flutter,MongoDB,Google Cloud Platform,Yes,Yes,Yes,Cybersecurity Analyst,Yes,Yes
1-3 years,C++,Svelte,Other (please specify),CircleCI,Yes,No,Yes,Full-Stack Developer,No,No
Less than 1 year,Java,React,CassandraDB,Jenkins,No,No,Yes,Mobile Developer,No,No
More than 5 years,PHP,Pandas,OracleDB,Apache,Yes,No,Yes,Front-End Developer,Yes,No
More than 5 years,Dart,Ruby on Rails,Redis,Nginx,Yes,Yes,Yes,Network Engineer,Yes,Yes
None,Other (please specify),Dask,Other (please specify),Ansible,Yes,No,Yes,Cloud Engineer,Yes,Yes
More than 5 years,Go,React Native,CassandraDB,Docker,No,No,Yes,DevOps Engineer,Yes,Yes
3-5 years,Go,Ruby on Rails,Other (please specify),Google Cloud Platform,No,Yes,No,DevOps Engineer,Yes,No
Less than 1 year,Other (please specify),Pandas,CassandraDB,Google Cloud Platform,Yes,Yes,No,Full-Stack Developer,Yes,No
Less than 1 year,PHP,Unreal Engine,MongoDB,Other (please specify),Yes,Yes,No,Database Administrator,No,Yes
More than 5 years,Kotlin,Snort,MongoDB,Azure,No,Yes,No,Robotics Engineer,No,No
Less than 1 year,Other (please specify),Burp Suite,SQLite,Azure,No,Yes,No,Network Engineer,No,Yes
None,TypeScript,Numpy,MongoDB,Travis CI,Yes,Yes,No,Front-End Developer,Yes,Yes
None,C++,TensorFlow,OracleDB,Kubernetes,Yes,No,No,Machine Learning Engineer,Yes,Yes
Less than 1 year,Python,Xamarin,CassandraDB,Other (please specify),Yes,Yes,No,Cloud Engineer,No,Yes
None,Python,Xamarin,Microsoft SQL Server,Google Cloud Platform,Yes,Yes,Yes,Project Manager,No,Yes
None,TypeScript,Apache Spark,CassandraDB,Jenkins,No,No,No,Machine Learning Engineer,No,No
1-3 years,Dart,PyTorch,SQLite,DigitalOcean,Yes,No,Yes,DevOps Engineer,No,Yes
Less than 1 year,JavaScript,Electron,Microsoft SQL Server,DigitalOcean,Yes,Yes,No,Project Manager,Yes,Yes
None,JavaScript,Snort,CassandraDB,Terraform,Yes,No,Yes,Front-End Developer,Yes,No
More than 5 years,Java,Next.js,PostgreSQL,AWS,Yes,No,Yes,IT Support Specialist,Yes,No
Less than 1 year,Go,Wireshark,OracleDB,Other (please specify),Yes,Yes,No,DevOps Engineer,No,No
3-5 years,Ruby,Snort,MongoDB,Azure,No,No,Yes,Project Manager,Yes,No
Less than 1 year,Python,Snort,PostgreSQL,Apache,Yes,Yes,Yes,Cloud Engineer,Yes,Yes
None,TypeScript,Vue.js,MySQL,Nginx,No,No,No,AI Researcher,Yes,No
3-5 years,PHP,SwiftUI,MongoDB,Jenkins,No,No,No,Systems Analyst,Yes,No
Less than 1 year,Go,Xamarin,Other (please specify),AWS,No,No,No,Game Developer,Yes,Yes
Less than 1 year,C,.NET Core,OracleDB,Google Cloud Platform,Yes,Yes,Yes,Other (please specify),No,No
3-5 years,C,.NET Core,MongoDB,Azure,No,No,Yes,Mobile Developer,Yes,No
1-3 years,Go,Unity,PostgreSQL,AWS,No,No,No,Front-End Developer,No,No
Less than 1 year,Other (please specify),Ruby on Rails,PostgreSQL,Travis CI,Yes,No,Yes,Data Engineer,Yes,Yes
1-3 years,Kotlin,Express.js,MySQL,Azure,No,No,No,Systems Analyst,Yes,Yes
None,Rust,React,Microsoft SQL Server,Jenkins,Yes,Yes,Yes,Other (please specify),No,No
Less than 1 year,Go,React,Other (please specify),AWS,No,Yes,No,Other (please specify),No,Yes
1-3 years,Dart,Angular,MongoDB,Apache,Yes,No,No,Machine Learning Engineer,Yes,Yes
1-3 years,Go,Kotlin Multiplatform Mobile (KMM),Redis,Azure,No,Yes,No,Systems Analyst,No,Yes
1-3 years,Dart,Numpy,MySQL,Apache,Yes,No,Yes,AI Researcher,Yes,No
More than 5 years,C++,Ruby on Rails,CassandraDB,DigitalOcean,No,No,No,Data Engineer,Yes,No
Less than 1 year,Rust,CryEngine,SQLite,DigitalOcean,No,No,Yes,Mobile Developer,Yes,No
None,Swift,React Native,PostgreSQL,Apache,No,Yes,No,Back-End Developer,Yes,Yes
More than 5 years,Dart,CryEngine,SQLite,Kubernetes,Yes,Yes,Yes,Data Engineer,Yes,No
None,Java,GTK,Redis,Nginx,Yes,No,Yes,Network Engineer,No,No
More than 5 years,JavaScript,React Native,OracleDB,Apache,Yes,Yes,Yes,DevOps Engineer,Yes,No
3-5 years,Kotlin,Keras,SQLite,Nginx,No,Yes,Yes,Systems Analyst,Yes,Yes
Less than 1 year,JavaScript,Flutter,CassandraDB,Azure,No,No,No,Front-End Developer,No,No
Less than 1 year,Dart,OpenVAS,MongoDB,Apache,No,Yes,No,Cybersecurity Analyst,Yes,No
More than 5 years,C++,Ruby on Rails,MongoDB,Kubernetes,No,No,Yes,Product Manager,No,Yes
Less than 1 year,C++,Dask,MongoDB,Other (please specify),No,Yes,No,IT Support Specialist,Yes,No
1-3 years,PHP,PyTorch,Microsoft SQL Server,DigitalOcean,Yes,Yes,No,Database Administrator,Yes,Yes
More than 5 years,None,Flutter,Microsoft SQL Server,GitLab CI/CD,No,Yes,No,Systems Analyst,No,No
Less than 1 year,C,Godot,Microsoft SQL Server,Azure,Yes,Yes,Yes,Other (please specify),No,No
More than 5 years,C++,Apache Spark,Redis,Travis CI,No,Yes,Yes,Network Engineer,No,Yes
More than 5 years,TypeScript,JavaFX,MySQL,Kubernetes,Yes,No,Yes,Systems Analyst,No,Yes
More than 5 years,C#,Burp Suite,Microsoft SQL Server,Travis CI,Yes,No,Yes,Project Manager,No,No
None,C++,Flask,MongoDB,Ansible,No,No,No,Product Manager,No,No
3-5 years,Other (please specify),WPF,MongoDB,Terraform,No,No,No,Full-Stack Developer,No,No
1-3 years,TypeScript,Snort,SQLite,AWS,No,Yes,Yes,Network Engineer,No,Yes
None,Go,Flask,MongoDB,Travis CI,Yes,No,No,Product Manager,Yes,Yes
More than 5 years,Kotlin,Metasploit,Redis,GitLab CI/CD,No,No,Yes,Cybersecurity Analyst,Yes,Yes
More than 5 years,Java,JavaFX,SQLite,Azure,No,No,Yes,Data Engineer,Yes,No
More than 5 years,Dart,Svelte,OracleDB,Other (please specify),No,Yes,No,Front-End Developer,Yes,No
None,Rust,Electron,Other (please specify),Git,Yes,Yes,No,Game Developer,No,Yes
1-3 years,Rust,Express.js,MySQL,Jenkins,No,No,Yes,Cybersecurity Analyst,No,Yes
1-3 years,Other (please specify),Vue.js,Redis,Git,Yes,Yes,Yes,Game Developer,Yes,No
More than 5 years,C,React Native,Microsoft SQL Server,CircleCI,Yes,No,Yes,Full-Stack Developer,No,No
Less than 1 year,TypeScript,Nestjs,Redis,CircleCI,Yes,No,No,Systems Analyst,No,Yes
More than 5 years,Python,Xamarin,Redis,Kubernetes,No,Yes,Yes,Cloud Engineer,No,Yes
None,PHP,Electron,Redis,Git,Yes,No,Yes,Cloud Engineer,No,Yes
More than 5 years,Other (please specify),Dask,Redis,Jenkins,No,No,No,Systems Analyst,No,Yes
3-5 years,C++,Dask,Redis,Other (please specify),Yes,No,Yes,IT Support Specialist,No,Yes
Less than 1 year,Kotlin,Unreal Engine,PostgreSQL,GitLab CI/CD,Yes,Yes,No,Robotics Engineer,No,No
None,Ruby,Ruby on Rails,Microsoft SQL Server,CircleCI,Yes,Yes,Yes,Cloud Engineer,Yes,No
1-3 years,Rust,PyTorch,CassandraDB,GitLab CI/CD,No,No,Yes,Robotics Engineer,Yes,Yes
None,None,Numpy,MongoDB,Ansible,No,Yes,Yes,Game Developer,No,Yes
3-5 years,Java,CryEngine,Other (please specify),DigitalOcean,No,No,Yes,Machine Learning Engineer,Yes,Yes
Less than 1 year,Java,Qt,SQLite,CircleCI,Yes,Yes,Yes,Mobile Developer,Yes,Yes
Less than 1 year,JavaScript,.NET Core,Microsoft SQL Server,Ansible,No,No,No,Product Manager,Yes,Yes
3-5 years,PHP,Burp Suite,Other (please specify),Apache,No,No,Yes,AI Researcher,No,Yes
3-5 years,Java,Snort,OracleDB,Jenkins,No,No,Yes,Product Manager,No,Yes
More than 5 years,None,Apache Spark,Other (please specify),DigitalOcean,No,No,Yes,Cybersecurity Analyst,No,Yes
More than 5 years,PHP,TensorFlow,OracleDB,Docker,Yes,Yes,Yes,Data Engineer,No,Yes
Less than 1 year,Swift,.NET Core,Other (please specify),Git,Yes,Yes,Yes,Mobile Developer,No,Yes
None,JavaScript,Apache Spark,Redis,Apache,Yes,No,No,Back-End Developer,No,Yes
